id,bbox,sick
Train_543.jpg,"[0, 0, 64, 43]",1
Train_314.jpg,"[64, 0, 64, 43]",1
Train_1013.jpg,"[128, 0, 64, 43]",1
Train_1457.jpg,"[192, 0, 64, 43]",0
Train_1159.jpg,"[256, 0, 64, 43]",0
Train_1258.jpg,"[320, 0, 64, 43]",1
Train_1780.jpg,"[384, 0, 64, 43]",1
Train_741.jpg,"[448, 0, 64, 43]",1
Train_1092.jpg,"[512, 0, 64, 43]",0
Train_347.jpg,"[576, 0, 64, 43]",1
Train_290.jpg,"[640, 0, 64, 43]",1
Train_1808.jpg,"[704, 0, 64, 43]",0
Train_677.jpg,"[832, 0, 64, 43]",1
Train_1198.jpg,"[896, 0, 64, 43]",0
Train_517.jpg,"[960, 0, 64, 43]",1
Train_633.jpg,"[1024, 0, 64, 43]",1
Train_214.jpg,"[1088, 0, 64, 43]",1
Train_86.jpg,"[1152, 0, 64, 43]",0
Train_11.jpg,"[1216, 0, 64, 43]",1
Train_559.jpg,"[1280, 0, 64, 43]",1
Train_1556.jpg,"[1408, 0, 64, 43]",0
Train_893.jpg,"[1472, 0, 64, 43]",0
Train_1488.jpg,"[1536, 0, 64, 43]",1
Train_336.jpg,"[1600, 0, 64, 43]",1
Train_1203.jpg,"[1664, 0, 64, 43]",1
Train_120.jpg,"[1728, 0, 64, 43]",1
Train_1270.jpg,"[1792, 0, 64, 43]",1
Train_1079.jpg,"[0, 43, 64, 43]",0
Train_695.jpg,"[64, 43, 64, 43]",1
Train_0.jpg,"[128, 43, 64, 43]",1
Train_359.jpg,"[256, 43, 64, 43]",0
Train_1667.jpg,"[320, 43, 64, 43]",0
Train_522.jpg,"[384, 43, 64, 43]",1
Train_1706.jpg,"[448, 43, 64, 43]",0
Train_1261.jpg,"[512, 43, 64, 43]",0
Train_395.jpg,"[576, 43, 64, 43]",1
Train_728.jpg,"[640, 43, 64, 43]",1
Train_514.jpg,"[704, 43, 64, 43]",1
Train_435.jpg,"[768, 43, 64, 43]",1
Train_702.jpg,"[832, 43, 64, 43]",1
Train_1799.jpg,"[896, 43, 64, 43]",0
Train_1777.jpg,"[1088, 43, 64, 43]",0
Train_1302.jpg,"[1152, 43, 64, 43]",1
Train_67.jpg,"[1216, 43, 64, 43]",0
Train_1536.jpg,"[1280, 43, 64, 43]",1
Train_1461.jpg,"[1408, 43, 64, 43]",1
Train_1701.jpg,"[1472, 43, 64, 43]",1
Train_570.jpg,"[1536, 43, 64, 43]",1
Train_951.jpg,"[1600, 43, 64, 43]",0
Train_1155.jpg,"[1664, 43, 64, 43]",1
Train_645.jpg,"[1728, 43, 64, 43]",1
Train_91.jpg,"[0, 86, 64, 43]",1
Train_924.jpg,"[64, 86, 64, 43]",0
Train_1435.jpg,"[128, 86, 64, 43]",1
Train_416.jpg,"[192, 86, 64, 43]",1
Train_886.jpg,"[256, 86, 64, 43]",1
Train_1414.jpg,"[320, 86, 64, 43]",0
Train_1310.jpg,"[384, 86, 64, 43]",1
Train_1749.jpg,"[448, 86, 64, 43]",1
Train_932.jpg,"[576, 86, 64, 43]",1
Train_1569.jpg,"[640, 86, 64, 43]",1
Train_1398.jpg,"[704, 86, 64, 43]",1
Train_1693.jpg,"[768, 86, 64, 43]",0
Train_791.jpg,"[832, 86, 64, 43]",0
Train_1119.jpg,"[896, 86, 64, 43]",1
Train_973.jpg,"[960, 86, 64, 43]",1
Train_1641.jpg,"[1024, 86, 64, 43]",1
Train_346.jpg,"[1088, 86, 64, 43]",1
Train_694.jpg,"[1152, 86, 64, 43]",0
Train_1209.jpg,"[1216, 86, 64, 43]",1
Train_449.jpg,"[1280, 86, 64, 43]",1
Train_1566.jpg,"[1344, 86, 64, 43]",1
Train_1433.jpg,"[1408, 86, 64, 43]",1
Train_233.jpg,"[1472, 86, 64, 43]",1
Train_1684.jpg,"[1664, 86, 64, 43]",1
Train_1737.jpg,"[1728, 86, 64, 43]",1
Train_136.jpg,"[1792, 86, 64, 43]",0
Train_1539.jpg,"[64, 129, 64, 43]",0
Train_1345.jpg,"[192, 129, 64, 43]",1
Train_42.jpg,"[256, 129, 64, 43]",1
Train_638.jpg,"[320, 129, 64, 43]",1
Train_1766.jpg,"[448, 129, 64, 43]",1
Train_1227.jpg,"[576, 129, 64, 43]",0
Train_1012.jpg,"[704, 129, 64, 43]",0
Train_434.jpg,"[768, 129, 64, 43]",1
Train_810.jpg,"[832, 129, 64, 43]",1
Train_786.jpg,"[896, 129, 64, 43]",0
Train_1316.jpg,"[1088, 129, 64, 43]",1
Train_1347.jpg,"[1216, 129, 64, 43]",0
Train_922.jpg,"[1280, 129, 64, 43]",1
Train_264.jpg,"[1344, 129, 64, 43]",0
Train_541.jpg,"[1408, 129, 64, 43]",1
Train_1440.jpg,"[1536, 129, 64, 43]",0
Train_523.jpg,"[1600, 129, 64, 43]",1
Train_647.jpg,"[1664, 129, 64, 43]",1
Train_1708.jpg,"[1728, 129, 64, 43]",1
Train_1193.jpg,"[1792, 129, 64, 43]",0
Train_1027.jpg,"[0, 172, 64, 43]",1
Train_1171.jpg,"[64, 172, 64, 43]",0
Train_952.jpg,"[128, 172, 64, 43]",0
Train_405.jpg,"[256, 172, 64, 43]",0
Train_1354.jpg,"[320, 172, 64, 43]",0
Train_1703.jpg,"[384, 172, 64, 43]",1
Train_208.jpg,"[448, 172, 64, 43]",1
Train_1182.jpg,"[512, 172, 64, 43]",1
Train_1662.jpg,"[640, 172, 64, 43]",1
Train_1046.jpg,"[768, 172, 64, 43]",1
Train_188.jpg,"[832, 172, 64, 43]",1
Train_1779.jpg,"[1088, 172, 64, 43]",1
Train_926.jpg,"[1152, 172, 64, 43]",1
Train_1018.jpg,"[1280, 172, 64, 43]",1
Train_95.jpg,"[1408, 172, 64, 43]",1
Train_1609.jpg,"[1472, 172, 64, 43]",1
Train_1188.jpg,"[1536, 172, 64, 43]",1
Train_1286.jpg,"[1600, 172, 64, 43]",0
Train_1689.jpg,"[1728, 172, 64, 43]",1
Train_170.jpg,"[1792, 172, 64, 43]",1
Train_229.jpg,"[0, 215, 64, 43]",1
Train_1656.jpg,"[64, 215, 64, 43]",0
Train_666.jpg,"[128, 215, 64, 43]",1
Train_917.jpg,"[192, 215, 64, 43]",1
Train_1152.jpg,"[256, 215, 64, 43]",1
Train_296.jpg,"[320, 215, 64, 43]",1
Train_762.jpg,"[384, 215, 64, 43]",1
Train_1443.jpg,"[448, 215, 64, 43]",1
Train_706.jpg,"[512, 215, 64, 43]",1
Train_1494.jpg,"[576, 215, 64, 43]",1
Train_1229.jpg,"[640, 215, 64, 43]",1
Train_1450.jpg,"[832, 215, 64, 43]",1
Train_399.jpg,"[896, 215, 64, 43]",1
Train_1335.jpg,"[960, 215, 64, 43]",0
Train_360.jpg,"[1088, 215, 64, 43]",0
Train_240.jpg,"[1152, 215, 64, 43]",1
Train_1522.jpg,"[1216, 215, 64, 43]",1
Train_75.jpg,"[1280, 215, 64, 43]",1
Train_636.jpg,"[1344, 215, 64, 43]",1
Train_1358.jpg,"[1408, 215, 64, 43]",1
Train_1574.jpg,"[1472, 215, 64, 43]",1
Train_1216.jpg,"[1536, 215, 64, 43]",1
Train_269.jpg,"[1600, 215, 64, 43]",1
Train_1466.jpg,"[1664, 215, 64, 43]",0
Train_834.jpg,"[1728, 215, 64, 43]",0
Train_1517.jpg,"[1792, 215, 64, 43]",0
Train_1035.jpg,"[0, 258, 64, 43]",1
Train_5.jpg,"[64, 258, 64, 43]",0
Train_1082.jpg,"[128, 258, 64, 43]",0
Train_1199.jpg,"[192, 258, 64, 43]",0
Train_1280.jpg,"[320, 258, 64, 43]",1
Train_425.jpg,"[384, 258, 64, 43]",0
Train_1694.jpg,"[448, 258, 64, 43]",0
Train_370.jpg,"[512, 258, 64, 43]",1
Train_829.jpg,"[640, 258, 64, 43]",1
Train_675.jpg,"[768, 258, 64, 43]",0
Train_870.jpg,"[832, 258, 64, 43]",1
Train_36.jpg,"[896, 258, 64, 43]",1
Train_857.jpg,"[1024, 258, 64, 43]",1
Train_1135.jpg,"[1088, 258, 64, 43]",1
Train_1736.jpg,"[1152, 258, 64, 43]",1
Train_1351.jpg,"[1216, 258, 64, 43]",1
